Id,Degree,Eccentricity,closnesscentrality,betweenesscentrality,modularity_class
20522,1,0,0,0,74
67713,1,0,0,0,74
75380,1,0,0,0,74
10605,1,0,0,0,74
73782,1,0,0,0,74
28808,1,0,0,0,74
90112,32,2,0.941176,96,520
19014,1,0,0,0,520
59291,2,0,0,0,520
69853,1,0,0,0,520
21673,1,0,0,0,520
71496,1,0,0,0,520
13894,1,0,0,0,520
84101,2,1,1,4,520
89518,1,0,0,0,520
50700,1,0,0,0,520
74161,1,0,0,0,520
53162,1,0,0,0,520
6398,1,0,0,0,520
77382,1,0,0,0,520
33681,1,0,0,0,520
21975,1,0,0,0,520
27851,1,0,0,0,520
91705,1,0,0,0,520
17476,1,0,0,0,520
20067,1,0,0,0,520
60544,1,0,0,0,520
95528,1,0,0,0,520
75260,1,0,0,0,520
19186,1,0,0,0,520
30083,1,0,0,0,520
78454,1,0,0,0,520
14206,1,0,0,0,520
65622,1,0,0,0,520
31492,1,0,0,0,520
2083,3,1,1,0,17
37128,2,0,0,0,17
27350,1,0,0,0,17
44424,1,0,0,0,17
89943,27,2,0.933333,112,184
79309,1,0,0,0,184
86905,1,0,0,0,184
65010,1,0,0,0,184
72462,1,0,0,0,184
76010,1,0,0,0,184
14985,1,0,0,0,184
51774,2,0,0,0,184
46343,1,0,0,0,184
22393,1,0,0,0,184
28466,1,0,0,0,184
9190,2,0,0,0,184
5485,1,0,0,0,184
65497,1,0,0,0,184
41940,2,0,0,0,184
74386,1,0,0,0,184
89530,1,0,0,0,184
37556,2,1,1,5,184
52763,1,0,0,0,184
5807,1,0,0,0,184
18168,1,0,0,0,184
90790,1,0,0,0,184
45246,1,0,0,0,184
20698,1,0,0,0,184
93101,1,0,0,0,184
47390,26,6,0.589286,33,114
17139,1,0,0,0,114
86430,1,0,0,0,114
48181,1,0,0,0,114
76893,1,0,0,0,114
91983,1,0,0,0,114
93291,1,0,0,0,114
60124,1,0,0,0,114
49748,1,0,0,0,114
33684,3,5,0.347826,16,114
45545,1,0,0,0,114
97176,1,0,0,0,114
44779,1,0,0,0,114
93048,1,0,0,0,114
38900,1,0,0,0,114
3367,1,0,0,0,114
94460,1,0,0,0,114
59364,1,0,0,0,114
5549,1,0,0,0,114
51314,1,0,0,0,114
25971,1,0,0,0,114
85383,1,0,0,0,114
83221,1,0,0,0,114
57669,1,0,0,0,114
13988,1,0,0,0,114
42713,1,0,0,0,114
43957,28,4,0.734694,0,126
1408,1,0,0,0,126
85994,1,0,0,0,126
67112,1,0,0,0,126
46210,1,0,0,0,126
68503,1,0,0,0,126
75513,2,0,0,0,126
24806,4,3,0.555556,10,126
39128,1,0,0,0,126
87300,1,0,0,0,126
85187,1,0,0,0,126
60024,1,0,0,0,126
7354,1,0,0,0,126
5127,3,1,1,3,41
68641,1,0,0,0,126
11451,1,0,0,0,126
2744,1,0,0,0,126
95429,1,0,0,0,126
27634,1,0,0,0,126
96213,2,2,0.666667,2,126
75147,1,0,0,0,126
74512,1,0,0,0,126
58597,1,0,0,0,126
98852,1,0,0,0,126
41925,1,0,0,0,126
72373,1,0,0,0,126
7099,1,0,0,0,126
49089,1,0,0,0,126
63966,1,0,0,0,126
75238,23,4,0.464286,52,184
68882,1,0,0,0,184
97904,1,0,0,0,184
32377,1,0,0,0,184
99874,1,0,0,0,184
82913,1,0,0,0,184
79927,1,0,0,0,184
81003,1,0,0,0,184
61370,1,0,0,0,184
8106,3,3,0.491525,87,184
99620,1,0,0,0,184
29518,1,0,0,0,184
46312,1,0,0,0,184
90713,1,0,0,0,184
84460,2,1,1,2,184
95853,1,0,0,0,184
70512,1,0,0,0,184
22741,1,0,0,0,184
71502,1,0,0,0,184
28812,1,0,0,0,184
87815,1,0,0,0,184
34566,1,0,0,0,184
4226,1,0,0,0,184
15842,8,1,1,0,12
99501,1,0,0,0,12
98821,1,0,0,0,12
12768,1,0,0,0,12
96636,1,0,0,0,12
32259,1,0,0,0,12
55315,1,0,0,0,12
26713,1,0,0,0,12
27145,1,0,0,0,12
25283,4,2,0.8,8,229
77948,1,0,0,0,229
48983,1,0,0,0,229
90857,2,1,1,3,229
43979,23,6,0.566038,90,157
39201,1,0,0,0,157
1999,1,0,0,0,157
92317,1,0,0,0,157
71549,1,0,0,0,157
17194,1,0,0,0,157
25387,1,0,0,0,157
26663,2,2,0.666667,8,157
71326,1,0,0,0,157
67029,1,0,0,0,157
904,1,0,0,0,157
1627,1,0,0,0,157
12419,1,0,0,0,157
7390,1,0,0,0,157
28374,2,5,0.315789,24,157
18861,2,1,1,4,157
97412,2,0,0,0,157
3731,1,0,0,0,157
47995,1,0,0,0,157
55808,1,0,0,0,157
81052,2,0,0,0,157
28967,2,0,0,0,157
88716,12,1,1,0,13
54476,1,0,0,0,13
9612,1,0,0,0,13
38749,1,0,0,0,13
15839,1,0,0,0,13
22627,1,0,0,0,13
10502,1,0,0,0,13
12520,1,0,0,0,13
46383,1,0,0,0,13
24411,1,0,0,0,13
61712,1,0,0,0,13
76646,1,0,0,0,13
83525,1,0,0,0,13
4269,13,3,0.8,0,14
44516,3,1,1,2,14
80443,1,0,0,0,14
32081,1,0,0,0,14
40774,1,0,0,0,14
17888,1,0,0,0,14
59238,1,0,0,0,14
35107,1,0,0,0,14
26762,1,0,0,0,14
1332,1,0,0,0,14
24054,2,2,0.666667,2,14
80409,1,0,0,0,14
80968,1,0,0,0,14
32413,1,0,0,0,14
66592,20,15,0.264706,0,137
38288,1,0,0,0,137
58911,1,0,0,0,137
21404,1,0,0,0,137
39424,1,0,0,0,137
83303,1,0,0,0,137
65161,1,0,0,0,137
59193,1,0,0,0,137
74731,2,14,0.226667,34,137
10705,1,0,0,0,137
86062,1,0,0,0,137
56901,1,0,0,0,137
22485,1,0,0,0,137
73199,1,0,0,0,137
89718,1,0,0,0,137
26242,1,0,0,0,137
63960,2,0,0,0,137
17583,1,0,0,0,137
74953,1,0,0,0,137
96307,1,0,0,0,137
49284,3,0,0,0,58
6831,32,1,1,120,414
61525,1,0,0,0,414
6509,1,0,0,0,414
25749,1,0,0,0,414
12678,1,0,0,0,414
83534,1,0,0,0,414
97486,1,0,0,0,414
34267,1,0,0,0,414
31468,1,0,0,0,414
66911,1,0,0,0,414
87985,1,0,0,0,414
93290,1,0,0,0,414
70201,1,0,0,0,414
85226,1,0,0,0,414
66323,1,0,0,0,414
59034,1,0,0,0,414
10344,1,0,0,0,414
92609,1,0,0,0,414
73167,2,0,0,0,414
74852,1,0,0,0,414
76711,1,0,0,0,414
17214,1,0,0,0,414
24131,1,0,0,0,414
87116,1,0,0,0,414
69149,1,0,0,0,414
91594,1,0,0,0,414
91212,1,0,0,0,414
55809,1,0,0,0,414
49801,1,0,0,0,414
49786,1,0,0,0,414
197,12,2,0.923077,12,520
96019,1,0,0,0,520
3557,2,1,1,2,520
19671,1,0,0,0,520
33496,1,0,0,0,520
58350,1,0,0,0,520
18428,1,0,0,0,520
65184,1,0,0,0,520
64837,1,0,0,0,520
57447,1,0,0,0,520
98239,1,0,0,0,520
26602,1,0,0,0,520
52396,21,3,0.851852,23,205
33746,2,0,0,0,205
92485,2,0,0,0,205
71695,1,0,0,0,205
26120,1,0,0,0,205
62227,1,0,0,0,205
53491,1,0,0,0,205
22058,1,0,0,0,205
48895,1,0,0,0,205
63805,1,0,0,0,205
19286,1,0,0,0,205
25443,1,0,0,0,205
48858,1,0,0,0,205
61810,2,1,1,2,205
96701,1,0,0,0,205
92446,1,0,0,0,205
53901,1,0,0,0,205
18074,1,0,0,0,205
72534,1,0,0,0,205
40831,1,0,0,0,205
52733,3,2,0.666667,6,205
92977,27,1,1,0,592
20799,1,0,0,0,592
40354,1,0,0,0,592
5243,1,0,0,0,592
44191,1,0,0,0,592
923,1,0,0,0,592
44460,1,0,0,0,592
93888,1,0,0,0,592
36422,1,0,0,0,592
9951,1,0,0,0,592
33463,1,0,0,0,592
80303,1,0,0,0,592
73148,1,0,0,0,592
77607,1,0,0,0,592
1773,1,0,0,0,592
15475,1,0,0,0,592
63951,1,0,0,0,592
69838,1,0,0,0,592
90526,1,0,0,0,592
8985,1,0,0,0,592
64549,1,0,0,0,592
54302,1,0,0,0,592
63903,1,0,0,0,592
54560,1,0,0,0,592
66308,1,0,0,0,592
74830,1,0,0,0,592
